harmonic_order,theory_token,observed_token,delta_xy,observed_mean_radius,observed_mean_z,frames
1,9.A'-,9.A'i3,0.05404435531947627,1.0074149928977276,0.9523696145124717,112
2,A.A'-,A.A'i4,0.1329040528801414,2.018221389974512,0.9214061076143854,107
3,B.5'-,B.5'i4,0.34227284892553794,3.0317382853084434,0.9523696145124717,112
4,B.A'-,B.A'i3,0.2880052517915141,4.0394720476610795,0.898936882196244,103
5,C.2'a3,C.2'i2,0.9901162373146992,5.048585774793393,0.9636250257678827,110
6,C.5'-,C.5'i3,0.6303499481621836,6.057939235720041,0.9584694880902214,113
7,C.8'a5,C.8'a2,0.9679591463477637,7.069004973140505,0.9404432075860648,110
8,C.A'-,C.A'i3,0.5691612901283439,8.07801677272729,0.9274129045557618,110
9,C.C'-,C.C'i4,0.6818478133661725,9.084496175213697,0.9497749869178441,117
10,11.2'a3,11.2'i2,1.9225449246809017,10.092404829059841,0.9563276934705509,117
11,11.4'a7,11.4'a4,1.795371140405891,11.102828515881727,0.9245870557058162,83
12,11.5'-,11.5'i4,1.2891643153717376,12.118794348620154,0.9409112811791382,112
