index,label,kind,radius,angle_deg,x,y,color
0,9.9'-,boundary_start,380.000000000000,326.018959725877,875.104576404212,822.389043806695,#111111
1,9.9'i1,micro_up,381.833547764202,328.776347183514,886.525086520402,807.934903619955,#d62728
2,9.9'i2,micro_up,383.675942626834,331.547039382225,897.331173029691,792.797452534226,#d62728
3,9.9'i3,micro_up,385.527227276259,334.331100519057,907.480424802700,776.998794457491,#d62728
4,9.9'i4,micro_up,387.387444606815,337.128595100818,916.930847807192,760.563614869720,#d62728
5,9.9'i5,micro_up,389.256637719811,339.939587945567,925.641012107552,743.519213126418,#d62728
6,9.9'i6,micro_up,391.134849924527,342.764144184122,933.570204302054,725.895527451253,#d62728
7,9.A'a5,micro_down,393.022124739212,345.602329261560,940.678585136268,707.725152101054,#1f77c9
8,9.A'a4,micro_down,394.918505892100,348.454208938743,946.927351992413,689.043346185423,#1f77c9
9,9.A'a3,micro_down,396.824037322417,351.319849293837,952.278905914485,669.888033624403,#1f77c9
10,9.A'a2,micro_down,398.738763181402,354.199316723841,956.697022787723,650.299793731366,#1f77c9
11,9.A'a1,micro_down,400.662727833327,357.092677946131,960.147028248420,630.321841914575,#1f77c9
12,9.A'-,boundary_end,402.595975856532,360.000000000000,962.595975856532,610.000000000000,#111111
