harmonic_order,token,octave_label,octave_value,step,micro_shift,relative_step,radius,angle_deg
1,9.A'-,9,9,A,0.0,0.0,37.01865896554439,0.0
2,A.A'-,A,10,A,0.0,12.0,83.01865896554443,360.0
3,B.5'-,B,11,5,0.0,19.0,128.8629100381992,576.6501826924277
4,B.A'-,B,11,A,0.0,24.0,175.0186589655446,720.0
5,C.2'a3,C,12,2,-0.25,27.75,219.52049638706575,818.422432552865
6,C.5'-,C,12,5,0.0,31.0,266.70716111085414,936.6501826924277
7,C.8'a5,C,12,8,-0.4166666666666667,33.583333333333336,311.0730001696648,1015.6661576693082
8,C.A'-,C,12,A,0.0,36.0,359.01865896554494,1080.0
9,C.C'-,C,12,C,0.0,38.0,404.08469274339427,1126.7078474316334
10,11.2'a3,11,13,2,-0.25,39.75,448.0223338085873,1178.4224325528648
11,11.4'a7,11,13,4,-0.5833333333333334,41.416666666666664,494.2056606985353,1241.6681752059226
12,11.5'-,11,13,5,0.0,43.0,542.3956632561642,1296.6501826924277
